app	ncore	repeat	cpu_time	wall_time	memory
cellSNP	16	1	154758.93	22805.500	60235580
cellSNP	32	1	198251.58	15817.752	116541180
cellSNP	8	1	133459.18	26707.637	32201284
cellSNP	16	2	155450.31	22347.923	60273256
cellSNP	32	2	204675.47	22670.616	116232728
cellSNP	8	2	135590.93	29174.247	32174004
cellSNP	16	3	175496.29	21862.245	60271408
cellSNP	32	3	206215.76	16248.779	116546284
cellSNP	8	3	134642.67	28289.115	32201272
cellsnp-lite	16	1	15657.81	1715.182	1173052
cellsnp-lite	32	1	17613.55	1006.619	1255560
cellsnp-lite	8	1	15242.70	2688.445	846352
cellsnp-lite	16	2	15467.11	1721.584	1039372
cellsnp-lite	32	2	17641.92	1007.162	1288624
cellsnp-lite	8	2	15815.42	2805.614	846456
cellsnp-lite	16	3	21499.78	2285.200	1039488
cellsnp-lite	32	3	17956.97	1032.648	1255344
cellsnp-lite	8	3	15185.87	2681.076	909432
vartrix	16	1	98949.96	11294.824	8751468
vartrix	32	1	107005.42	6782.634	8830032
vartrix	8	1	94343.42	17775.759	8656316
vartrix	16	2	102458.02	11877.768	8737444
vartrix	32	2	101384.22	6321.356	8803612
vartrix	8	2	93720.06	17507.132	8642612
vartrix	16	3	114241.24	13258.116	8467024
vartrix	32	3	123151.74	7838.707	8745312
vartrix	8	3	90028.37	16892.547	8670124
