app	ncore	repeat	cpu_time	wall_time	memory
bcftools-R	1	1	4906.44	4681.482	592276
bcftools-R	2	1	4885.01	4719.487	588384
bcftools-R	4	1	4846.69	4680.864	590640
bcftools-R	8	1	4886.61	4719.996	587628
bcftools-R	1	2	4833.99	4625.454	587032
bcftools-R	2	2	4874.48	4663.925	594896
bcftools-R	4	2	4740.56	4543.766	592876
bcftools-R	8	2	4788.38	4639.137	587628
bcftools-R	1	3	4789.65	4641.015	586172
bcftools-R	2	3	4813.39	4660.076	586384
bcftools-R	4	3	4808.93	4656.459	590824
bcftools-R	8	3	4798.68	4646.604	589348
bcftools-T	1	1	56.91	51.827	492488
bcftools-T	2	1	53.48	51.095	489844
bcftools-T	4	1	53.89	51.761	491160
bcftools-T	8	1	54.64	52.155	489828
bcftools-T	1	2	55.58	50.470	492352
bcftools-T	2	2	56.27	50.755	489584
bcftools-T	4	2	55.56	50.448	492932
bcftools-T	8	2	53.28	50.728	516712
bcftools-T	1	3	52.62	50.617	488380
bcftools-T	2	3	53.14	50.871	488572
bcftools-T	4	3	53.62	51.239	490660
bcftools-T	8	3	54.35	51.558	493492
cellSNP	1	1	8128.12	7810.923	3546852
cellSNP	2	1	7883.40	4072.193	11155892
cellSNP	4	1	7901.91	2129.803	17988980
cellSNP	8	1	8082.19	1252.904	31922640
cellSNP	1	2	7825.24	7487.554	3548880
cellSNP	2	2	7818.64	4028.669	11151240
cellSNP	4	2	7663.91	2075.494	18023020
cellSNP	8	2	8325.75	1287.928	31928896
cellSNP	1	3	7800.52	7541.068	3546296
cellSNP	2	3	7865.80	4038.632	11159148
cellSNP	4	3	8168.55	2201.805	18009848
cellSNP	8	3	8403.65	1283.033	31932352
cellsnp-lite-R	1	1	2535.41	2438.622	530080
cellsnp-lite-R	2	1	2394.07	1242.637	540464
cellsnp-lite-R	4	1	2407.05	662.410	548144
cellsnp-lite-R	8	1	2483.86	398.538	557176
cellsnp-lite-R	1	2	2409.26	2318.728	543264
cellsnp-lite-R	2	2	2397.51	1237.451	540372
cellsnp-lite-R	4	2	2396.80	663.083	548624
cellsnp-lite-R	8	2	2589.16	411.757	558208
cellsnp-lite-R	1	3	2262.81	2206.214	536060
cellsnp-lite-R	2	3	2307.52	1196.593	560792
cellsnp-lite-R	4	3	2382.64	655.613	549092
cellsnp-lite-R	8	3	2576.07	410.887	557140
cellsnp-lite-T	1	1	32.79	33.048	948172
cellsnp-lite-T	2	1	31.90	29.972	947432
cellsnp-lite-T	4	1	32.78	24.692	946208
cellsnp-lite-T	8	1	31.98	15.563	945176
cellsnp-lite-T	1	2	31.18	31.609	949104
cellsnp-lite-T	2	2	33.67	29.865	946536
cellsnp-lite-T	4	2	32.23	23.407	947600
cellsnp-lite-T	8	2	32.18	15.949	949188
cellsnp-lite-T	1	3	29.06	29.668	948156
cellsnp-lite-T	2	3	30.78	30.347	947368
cellsnp-lite-T	4	3	32.06	22.864	948540
cellsnp-lite-T	8	3	32.52	15.398	946340
