app	ncore	repeat	cpu_time	wall_time	memory
cellSNP	16	1	423948.00	47282.879	181652484
cellSNP	32	1	481804.89	50206.806	181657104
cellSNP	8	1	463487.68	77594.966	181644660
cellSNP	16	2	475725.44	49212.963	181649252
cellSNP	32	2	500576.81	49974.731	181658088
cellSNP	8	2	422381.94	70773.130	181648456
cellSNP	16	3	421558.06	46688.842	181650796
cellSNP	32	3	425558.97	45963.206	181661720
cellSNP	8	3	395821.34	65398.237	181646780
cellsnp-lite	16	1	26689.53	3748.500	28438156
cellsnp-lite	32	1	27635.81	3172.421	29064408
cellsnp-lite	8	1	28111.33	5641.023	27913444
cellsnp-lite	16	2	29097.05	3781.726	28444448
cellsnp-lite	32	2	30092.47	3369.714	29061020
cellsnp-lite	8	2	31325.78	5748.547	28122652
cellsnp-lite	16	3	27044.17	3779.830	28451488
cellsnp-lite	32	3	27983.84	3162.137	29063540
cellsnp-lite	8	3	29504.22	5780.983	28115432
freebayes	16	1	538716.24	34576.533	21169432
freebayes	32	1	628734.98	22176.645	33108888
freebayes	8	1	555506.86	71898.124	14063908
freebayes	16	2	628853.16	40269.125	21400308
freebayes	32	2	713736.74	25211.894	33014416
freebayes	8	2	559290.11	71525.139	14044992
freebayes	16	3	557710.21	35804.751	21081908
freebayes	32	3	623535.63	21875.400	32988092
freebayes	8	3	551566.09	72421.361	14087492
