app	ncores	wall_time mean (s)	wall_time stdev (s)	cpu_time mean (s)	cpu_time stdev (s)	peak_mem mean (kB)	peak_mem stdev (kB)
bcftools-R	1	4649	29	4843	59	588493	3304
bcftools-T	1	51	1	55	2	491073	2333
cellSNP	1	7613	173	7918	182	3547343	1360
cellsnp-lite-R	1	2321	116	2402	136	536468	6601
cellsnp-lite-T	1	31	2	31	2	948477	543
bcftools-R	2	4681	33	4858	39	589888	4451
bcftools-T	2	51	0	54	2	489333	672
cellSNP	2	4046	23	7856	33	11155427	3974
cellsnp-lite-R	2	1226	25	2366	51	547209	11763
cellsnp-lite-T	2	30	0	32	1	947112	500
bcftools-R	4	4627	73	4799	54	591447	1241
bcftools-T	4	51	1	54	1	491584	1194
cellSNP	4	2136	63	7911	252	18007283	17164
cellsnp-lite-R	4	660	4	2395	12	548620	474
cellsnp-lite-T	4	24	1	32	0	947449	1173
bcftools-R	8	4669	45	4825	54	588201	993
bcftools-T	8	51	1	54	1	500011	14579
cellSNP	8	1275	19	8271	168	31927963	4923
cellsnp-lite-R	8	407	7	2550	57	557508	606
cellsnp-lite-T	8	16	0	32	0	946901	2064
